route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
286-247,NOV25-TroyRMB-Weekday-12,13017845-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017846-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017847-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017848-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017849-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017850-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017851-NOV25-TroyRMB-Weekday-12,"RPI Field to Myrtle Ave",1,2860226,1,1
286-247,NOV25-TroyRMB-Weekday-12-0000100,13017852-NOV25-TroyRMB-Weekday-12-0000100,"RPI Field to Myrtle Ave",1,2860226,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017853-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017854-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12-0000100,13017855-NOV25-TroyRMB-Weekday-12-0000100,"RPI Field to Myrtle Ave",1,2860226,1,1
286-247,NOV25-TroyRMB-Weekday-12-0000100,13017856-NOV25-TroyRMB-Weekday-12-0000100,"Myrtle Ave to RPI Field",0,2860227,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017857-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12-0000100,13017858-NOV25-TroyRMB-Weekday-12-0000100,"Myrtle Ave to RPI Field",0,2860227,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017859-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017860-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017861-NOV25-TroyRMB-Weekday-12,"RPI Field to Myrtle Ave",1,2860226,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017862-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017863-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017864-NOV25-TroyRMB-Weekday-12,"Vanderheyden Hall to River St. & Front St. via Myrtle Ave",0,2860175,1,1
286-247,NOV25-TroyRMB-Weekday-12,13017865-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Vanderheyden Hall via Myrtle Ave",1,2860224,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017866-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Albany via Water St and Swan St",1,2240421,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017867-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Albany via Water St and Swan St",1,2240421,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017868-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Albany via Water St and Swan St",1,2240422,1,1
182-247,NOV25-TroyRMB-Weekday-12,13017869-NOV25-TroyRMB-Weekday-12,"Albany-Troy via Latham/Cohoes/Shoppes of Latham/Wellness Way",0,1820400,1,1
182-247,NOV25-TroyRMB-Weekday-12,13017870-NOV25-TroyRMB-Weekday-12,"Albany-Troy via Latham/Cohoes/Shoppes of Latham",0,1820398,1,1
182-247,NOV25-TroyRMB-Weekday-12,13017871-NOV25-TroyRMB-Weekday-12,"Albany-Troy via Latham/Cohoes/Shoppes of Latham/Wellness Way",0,1820400,1,1
182-247,NOV25-TroyRMB-Weekday-12,13017872-NOV25-TroyRMB-Weekday-12,"Albany-Troy via Latham/Cohoes/Shoppes of Latham/Wellness Way",0,1820400,1,1
182-247,NOV25-TroyRMB-Weekday-12,13017873-NOV25-TroyRMB-Weekday-12,"Albany-Troy via Latham/Cohoes/Shoppes of Latham/Wellness Way",0,1820400,1,1
182-247,NOV25-TroyRMB-Weekday-12,13017874-NOV25-TroyRMB-Weekday-12,"Albany-Troy via CCS and Wellness Way",0,1820403,1,1
